epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.76817,1.23861,8.01291,1.08606,0.25972,0.64407,0.25023,0.20762,0.57364,6.66451,0.79703,0.00018,0.00018,0.00018
2,6.3819,0.66766,1.66633,0.85321,0.59118,1,0.99083,0.88885,0.50378,5.08732,0.78638,0.000379248,0.000379248,0.000379248
3,8.96562,0.58461,0.8859,0.84383,0.0958,1,0.14608,0.13369,0.41583,47.3256,0.79529,0.000577703,0.000577703,0.000577703
4,11.4638,0.54827,0.68272,0.82645,0.08544,1,0.17527,0.16223,0.4461,25.0824,0.79337,0.000775367,0.000775367,0.000775367
5,13.9825,0.53816,0.56428,0.85145,0.31531,1,0.4529,0.39183,0.52626,4.12855,0.81659,0.000972238,0.000972238,0.000972238
6,16.5004,0.55033,0.46657,0.85563,0.98586,1,0.995,0.82896,0.58648,1.28433,0.86295,0.00116832,0.00116832,0.00116832
7,18.9829,0.51497,0.44103,0.84483,0.99216,1,0.995,0.9123,0.43273,0.70776,0.80938,0.00136361,0.00136361,0.00136361
8,21.58,0.51546,0.40916,0.85542,0.99798,1,0.995,0.88977,0.50161,0.57242,0.83294,0.0015581,0.0015581,0.0015581
9,24.1125,0.51951,0.44088,0.84122,0.98569,1,0.995,0.89044,0.48414,1.08665,0.82075,0.0017518,0.0017518,0.0017518
10,26.6144,0.52505,0.42878,0.84532,0.97973,1,0.995,0.91995,0.43707,1.30716,0.82629,0.00194472,0.00194472,0.00194472
11,29.1375,0.51495,0.38147,0.85283,0.99521,1,0.995,0.87809,0.48688,0.68201,0.84251,0.0019604,0.0019604,0.0019604
12,31.838,0.49292,0.36758,0.83803,0.99779,1,0.995,0.88547,0.46934,0.57984,0.83506,0.00195644,0.00195644,0.00195644
13,34.2579,0.49466,0.36464,0.84103,0.99675,1,0.995,0.91455,0.41641,0.35036,0.81931,0.00195248,0.00195248,0.00195248
14,36.6995,0.48246,0.34284,0.84265,0.99885,1,0.995,0.90785,0.41055,0.29818,0.80672,0.00194852,0.00194852,0.00194852
15,39.1267,0.49324,0.37359,0.83921,0.99867,1,0.995,0.88345,0.46721,0.40367,0.82074,0.00194456,0.00194456,0.00194456
16,41.5603,0.52402,0.36307,0.83732,0.9983,1,0.995,0.90047,0.41509,0.40229,0.80506,0.0019406,0.0019406,0.0019406
17,44.0364,0.53059,0.35566,0.8357,0.99639,1,0.995,0.90962,0.41834,0.41929,0.80635,0.00193664,0.00193664,0.00193664
18,46.5174,0.49549,0.3489,0.84753,0.99783,1,0.995,0.90273,0.43481,0.32814,0.81394,0.00193268,0.00193268,0.00193268
19,48.9408,0.47773,0.34013,0.82953,0.99891,1,0.995,0.91938,0.44623,0.3206,0.82206,0.00192872,0.00192872,0.00192872
20,51.4305,0.46254,0.33253,0.84064,0.99893,1,0.995,0.90744,0.44562,0.33196,0.81868,0.00192476,0.00192476,0.00192476
21,53.8705,0.47049,0.32417,0.82883,0.99863,1,0.995,0.92141,0.40805,0.3065,0.805,0.0019208,0.0019208,0.0019208
22,56.3637,0.45887,0.31072,0.81579,0.99878,1,0.995,0.93459,0.38224,0.26696,0.79772,0.00191684,0.00191684,0.00191684
23,59.0114,0.45246,0.31766,0.83607,0.999,1,0.995,0.9243,0.4175,0.30743,0.80169,0.00191288,0.00191288,0.00191288
24,61.4589,0.45276,0.31597,0.83957,0.9989,1,0.995,0.93532,0.37034,0.26736,0.7915,0.00190892,0.00190892,0.00190892
25,63.9655,0.44647,0.31265,0.83444,0.99902,1,0.995,0.94459,0.37005,0.29364,0.79233,0.00190496,0.00190496,0.00190496
26,66.4626,0.4664,0.31921,0.81813,0.99872,1,0.995,0.93423,0.3736,0.2736,0.78908,0.001901,0.001901,0.001901
27,68.9268,0.46261,0.30275,0.82561,0.99889,1,0.995,0.94064,0.36558,0.24478,0.78936,0.00189704,0.00189704,0.00189704
28,71.3969,0.42768,0.30048,0.81605,0.9986,1,0.995,0.94489,0.37408,0.27258,0.79691,0.00189308,0.00189308,0.00189308
29,73.9047,0.46653,0.31505,0.8415,0.99806,1,0.995,0.94161,0.34373,0.26225,0.78498,0.00188912,0.00188912,0.00188912
30,76.3966,0.44056,0.29521,0.80186,0.99894,1,0.995,0.92396,0.39315,0.27276,0.8031,0.00188516,0.00188516,0.00188516
31,78.8233,0.48736,0.31648,0.83211,0.99896,1,0.995,0.93762,0.34915,0.25696,0.78743,0.0018812,0.0018812,0.0018812
32,81.2684,0.44231,0.30279,0.82374,0.99906,1,0.995,0.97198,0.33641,0.25459,0.78814,0.00187724,0.00187724,0.00187724
33,83.7482,0.44693,0.31375,0.8217,0.99908,1,0.995,0.9384,0.3759,0.28317,0.79534,0.00187328,0.00187328,0.00187328
34,86.4015,0.4569,0.30423,0.8129,0.99908,1,0.995,0.93093,0.39504,0.28099,0.80042,0.00186932,0.00186932,0.00186932
35,88.9045,0.43591,0.29721,0.82578,0.99906,1,0.995,0.91207,0.42859,0.26741,0.81164,0.00186536,0.00186536,0.00186536
36,91.3708,0.43897,0.29538,0.82077,0.99908,1,0.995,0.91574,0.40912,0.29432,0.81012,0.0018614,0.0018614,0.0018614
37,93.8301,0.45374,0.31289,0.83893,0.99907,1,0.995,0.93711,0.39169,0.26866,0.80509,0.00185744,0.00185744,0.00185744
38,96.2685,0.45651,0.30185,0.83424,0.99867,1,0.995,0.93139,0.39948,0.27386,0.80379,0.00185348,0.00185348,0.00185348
39,98.7408,0.43954,0.30397,0.84304,0.99867,1,0.995,0.91951,0.42025,0.31337,0.80665,0.00184952,0.00184952,0.00184952
40,101.197,0.45309,0.29997,0.8159,0.99889,1,0.995,0.93055,0.36546,0.26576,0.79478,0.00184556,0.00184556,0.00184556
41,103.606,0.44776,0.29605,0.82083,0.99902,1,0.995,0.9403,0.37408,0.25007,0.793,0.0018416,0.0018416,0.0018416
42,106.127,0.42534,0.27887,0.81848,0.99849,1,0.995,0.9238,0.37617,0.26745,0.79316,0.00183764,0.00183764,0.00183764
43,108.588,0.41888,0.27434,0.82081,0.99898,1,0.995,0.93752,0.34414,0.23485,0.78421,0.00183368,0.00183368,0.00183368
44,111.088,0.42708,0.29157,0.81808,0.99906,1,0.995,0.94681,0.34925,0.23487,0.78948,0.00182972,0.00182972,0.00182972
45,113.733,0.43251,0.29102,0.82551,0.99908,1,0.995,0.93321,0.37436,0.25979,0.79169,0.00182576,0.00182576,0.00182576
46,116.204,0.42999,0.27924,0.81301,0.99904,1,0.995,0.9468,0.3801,0.24447,0.79915,0.0018218,0.0018218,0.0018218
47,118.646,0.44721,0.29704,0.8143,0.99905,1,0.995,0.92068,0.40788,0.24743,0.79915,0.00181784,0.00181784,0.00181784
48,121.088,0.44125,0.29359,0.82806,0.99904,1,0.995,0.94772,0.34348,0.25073,0.78924,0.00181388,0.00181388,0.00181388
49,123.503,0.41147,0.27202,0.80573,0.99904,1,0.995,0.95784,0.33712,0.23447,0.78352,0.00180992,0.00180992,0.00180992
50,125.938,0.4144,0.27226,0.81206,0.99901,1,0.995,0.95348,0.35855,0.26187,0.79177,0.00180596,0.00180596,0.00180596
51,128.358,0.39612,0.26208,0.8306,0.99903,1,0.995,0.94038,0.36202,0.23441,0.79111,0.001802,0.001802,0.001802
52,130.868,0.42203,0.27548,0.82015,0.99903,1,0.995,0.92202,0.3736,0.25866,0.79807,0.00179804,0.00179804,0.00179804
53,133.348,0.43639,0.28776,0.82248,0.99891,1,0.995,0.93009,0.37555,0.26233,0.79753,0.00179408,0.00179408,0.00179408
54,135.835,0.45174,0.30115,0.83127,0.99865,1,0.995,0.9064,0.41006,0.25139,0.8071,0.00179012,0.00179012,0.00179012
55,138.257,0.43897,0.28272,0.81968,0.99881,1,0.995,0.9483,0.36247,0.24834,0.79384,0.00178616,0.00178616,0.00178616
56,140.862,0.40422,0.27213,0.82633,0.99904,1,0.995,0.91716,0.40198,0.29025,0.8031,0.0017822,0.0017822,0.0017822
57,143.27,0.40574,0.27042,0.81692,0.99906,1,0.995,0.952,0.35666,0.26132,0.79042,0.00177824,0.00177824,0.00177824
58,145.695,0.42375,0.27591,0.80057,0.99902,1,0.995,0.93645,0.36054,0.24542,0.79179,0.00177428,0.00177428,0.00177428
59,148.107,0.40325,0.2659,0.81654,0.999,1,0.995,0.93417,0.35642,0.22464,0.79124,0.00177032,0.00177032,0.00177032
60,150.523,0.3956,0.25863,0.81498,0.99906,1,0.995,0.9459,0.33226,0.21335,0.78366,0.00176636,0.00176636,0.00176636
61,152.971,0.39862,0.26041,0.81183,0.99906,1,0.995,0.93633,0.33442,0.22846,0.78304,0.0017624,0.0017624,0.0017624
62,155.466,0.40815,0.26801,0.81621,0.99905,1,0.995,0.95483,0.33766,0.23897,0.78646,0.00175844,0.00175844,0.00175844
63,157.884,0.39887,0.26192,0.81733,0.99905,1,0.995,0.94917,0.34323,0.22297,0.78743,0.00175448,0.00175448,0.00175448
64,160.331,0.41926,0.26235,0.82507,0.99908,1,0.995,0.92825,0.37421,0.24727,0.7922,0.00175052,0.00175052,0.00175052
65,162.766,0.44166,0.27152,0.82382,0.99909,1,0.995,0.90996,0.41918,0.24526,0.80315,0.00174656,0.00174656,0.00174656
66,165.21,0.40155,0.26444,0.82525,0.99907,1,0.995,0.95307,0.337,0.21413,0.78488,0.0017426,0.0017426,0.0017426
67,167.807,0.43245,0.27291,0.82102,0.99891,1,0.995,0.9559,0.32452,0.2297,0.78361,0.00173864,0.00173864,0.00173864
68,170.251,0.39874,0.24929,0.81625,0.99888,1,0.995,0.96042,0.31756,0.19316,0.78033,0.00173468,0.00173468,0.00173468
69,172.677,0.42097,0.26323,0.82708,0.9969,1,0.995,0.94782,0.34042,0.22209,0.78697,0.00173072,0.00173072,0.00173072
70,175.143,0.41105,0.26616,0.80803,0.99906,1,0.995,0.9598,0.32061,0.18682,0.78238,0.00172676,0.00172676,0.00172676
71,177.604,0.39959,0.25931,0.81385,0.99906,1,0.995,0.96062,0.31675,0.21105,0.78077,0.0017228,0.0017228,0.0017228
72,180.063,0.43701,0.27647,0.82279,0.99907,1,0.995,0.94334,0.38361,0.2177,0.80219,0.00171884,0.00171884,0.00171884
73,182.516,0.41191,0.2588,0.82738,0.99905,1,0.995,0.94005,0.34136,0.20986,0.79047,0.00171488,0.00171488,0.00171488
74,185.007,0.4009,0.25775,0.81493,0.9991,1,0.995,0.95411,0.349,0.20449,0.79384,0.00171092,0.00171092,0.00171092
75,187.466,0.40062,0.25724,0.80254,0.9991,1,0.995,0.94649,0.33996,0.22702,0.78957,0.00170696,0.00170696,0.00170696
76,189.93,0.38144,0.25303,0.83023,0.99907,1,0.995,0.936,0.36282,0.22014,0.79596,0.001703,0.001703,0.001703
77,192.375,0.41158,0.25862,0.81653,0.99909,1,0.995,0.9566,0.34777,0.22222,0.79302,0.00169904,0.00169904,0.00169904
78,195.004,0.39517,0.25756,0.81799,0.99907,1,0.995,0.94754,0.33751,0.20371,0.78724,0.00169508,0.00169508,0.00169508
79,197.49,0.39936,0.25397,0.82479,0.99897,1,0.995,0.94115,0.37366,0.22995,0.79638,0.00169112,0.00169112,0.00169112
80,199.992,0.40469,0.25847,0.81019,0.99888,1,0.995,0.94382,0.36771,0.22994,0.78844,0.00168716,0.00168716,0.00168716
81,202.444,0.37721,0.24491,0.79604,0.99876,1,0.995,0.95144,0.34008,0.21181,0.78882,0.0016832,0.0016832,0.0016832
82,204.909,0.4104,0.25601,0.81907,0.99866,1,0.995,0.9538,0.33055,0.19868,0.78922,0.00167924,0.00167924,0.00167924
83,207.391,0.39041,0.24617,0.80356,0.99873,1,0.995,0.95489,0.3411,0.20932,0.7883,0.00167528,0.00167528,0.00167528
84,209.872,0.39462,0.24356,0.80911,0.99904,1,0.995,0.93905,0.35337,0.21916,0.78869,0.00167132,0.00167132,0.00167132
85,212.313,0.38279,0.24364,0.81421,0.99905,1,0.995,0.9496,0.34719,0.21152,0.78889,0.00166736,0.00166736,0.00166736
86,214.76,0.39928,0.25215,0.8252,0.99908,1,0.995,0.95487,0.3542,0.21057,0.78504,0.0016634,0.0016634,0.0016634
87,217.225,0.36293,0.22779,0.79725,0.99907,1,0.995,0.95576,0.35822,0.20197,0.78519,0.00165944,0.00165944,0.00165944
88,219.707,0.3904,0.24881,0.81071,0.99901,1,0.995,0.95138,0.31732,0.19627,0.77898,0.00165548,0.00165548,0.00165548
89,222.302,0.38121,0.23745,0.81081,0.99904,1,0.995,0.96617,0.32805,0.21145,0.78475,0.00165152,0.00165152,0.00165152
90,224.767,0.38084,0.24053,0.79661,0.99844,1,0.995,0.9516,0.3209,0.19981,0.77813,0.00164756,0.00164756,0.00164756
91,227.193,0.3833,0.232,0.80496,0.99898,1,0.995,0.94323,0.35475,0.19595,0.78508,0.0016436,0.0016436,0.0016436
92,229.714,0.38109,0.2395,0.79964,0.99902,1,0.995,0.93873,0.3529,0.21306,0.78845,0.00163964,0.00163964,0.00163964
93,232.13,0.39841,0.24445,0.81464,0.99899,1,0.995,0.94266,0.33134,0.20055,0.78225,0.00163568,0.00163568,0.00163568
94,234.57,0.3885,0.24266,0.81202,0.99831,1,0.995,0.9519,0.344,0.21046,0.78676,0.00163172,0.00163172,0.00163172
95,236.999,0.37939,0.24437,0.81768,0.99886,1,0.995,0.94305,0.33997,0.20025,0.78861,0.00162776,0.00162776,0.00162776
96,239.469,0.37938,0.24559,0.82312,0.99902,1,0.995,0.95413,0.31387,0.20252,0.78319,0.0016238,0.0016238,0.0016238
97,241.929,0.35275,0.23182,0.80699,0.99891,1,0.995,0.93953,0.34449,0.22088,0.78551,0.00161984,0.00161984,0.00161984
98,244.417,0.36705,0.24033,0.80916,0.99883,1,0.995,0.96066,0.3255,0.19806,0.78389,0.00161588,0.00161588,0.00161588
99,246.895,0.38017,0.2451,0.82435,0.99894,1,0.995,0.94421,0.33468,0.20702,0.78235,0.00161192,0.00161192,0.00161192
100,249.538,0.38195,0.23758,0.80912,0.99864,1,0.995,0.94484,0.36638,0.21159,0.79139,0.00160796,0.00160796,0.00160796
101,251.96,0.38725,0.24288,0.82177,0.99799,1,0.995,0.94208,0.37096,0.26847,0.7967,0.001604,0.001604,0.001604
102,254.404,0.42456,0.24923,0.83763,0.99898,1,0.995,0.95748,0.32742,0.20986,0.78446,0.00160004,0.00160004,0.00160004
103,256.835,0.40366,0.24631,0.81271,0.99894,1,0.995,0.93193,0.34764,0.20369,0.78815,0.00159608,0.00159608,0.00159608
104,259.281,0.39465,0.24522,0.81667,0.99896,1,0.995,0.95192,0.33712,0.19549,0.78548,0.00159212,0.00159212,0.00159212
105,261.758,0.41592,0.25646,0.82658,0.99903,1,0.995,0.93232,0.37063,0.20162,0.79513,0.00158816,0.00158816,0.00158816
106,264.216,0.39201,0.25118,0.79522,0.99905,1,0.995,0.95566,0.33405,0.21882,0.78522,0.0015842,0.0015842,0.0015842
107,266.656,0.39763,0.23621,0.82385,0.99907,1,0.995,0.94917,0.33843,0.18929,0.78438,0.00158024,0.00158024,0.00158024
108,269.128,0.37114,0.23996,0.80528,0.99907,1,0.995,0.95166,0.34144,0.20766,0.78866,0.00157628,0.00157628,0.00157628
