epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21739,1.80588,3.47474,1.78164,0.26278,0.52862,0.29464,0.10823,1.3722,2.69525,1.46362,7.5e-05,7.5e-05,7.5e-05
2,4.26665,0.92123,1.98276,1.1106,0.57443,0.65854,0.6878,0.59401,0.54908,1.16537,0.89177,0.000161696,0.000161696,0.000161696
3,6.26168,0.71194,1.0605,0.99685,0.85041,0.8925,0.89837,0.79181,0.51618,0.97018,0.84903,0.000247525,0.000247525,0.000247525
4,8.22659,0.65858,0.77922,0.94129,0.7966,0.93628,0.97645,0.86213,0.49698,1.39334,0.84384,0.000332488,0.000332488,0.000332488
5,10.2287,0.59244,0.75413,0.92612,0.96359,0.94619,0.99316,0.87986,0.49231,0.60663,0.83556,0.000416585,0.000416585,0.000416585
6,12.1878,0.61234,0.67526,0.94172,0.89491,0.98867,0.98522,0.87468,0.48679,0.92267,0.82893,0.000499816,0.000499816,0.000499816
7,14.1087,0.62471,0.61338,0.94927,0.93043,0.99589,0.995,0.88721,0.48393,0.75682,0.83324,0.00058218,0.00058218,0.00058218
8,16.0124,0.60931,0.54774,0.92898,0.98334,0.99632,0.995,0.87042,0.51229,0.53941,0.8473,0.000663678,0.000663678,0.000663678
9,17.8968,0.60644,0.54658,0.92987,0.98008,0.94947,0.99349,0.8816,0.49264,0.48616,0.83204,0.00074431,0.00074431,0.00074431
10,19.7771,0.60095,0.49469,0.91194,0.98909,0.98865,0.99309,0.85641,0.59753,0.45094,0.87827,0.000824076,0.000824076,0.000824076
11,21.6468,0.60033,0.5011,0.93464,0.99469,0.99098,0.99405,0.87972,0.49788,0.37609,0.83217,0.000902975,0.000902975,0.000902975
12,23.7398,0.60966,0.5078,0.92632,0.97829,0.93881,0.99217,0.88679,0.47276,0.50932,0.83319,0.000981008,0.000981008,0.000981008
13,25.5218,0.55189,0.43888,0.89714,0.98751,0.96139,0.99365,0.88067,0.51632,0.44245,0.84965,0.00105817,0.00105817,0.00105817
14,27.3326,0.59442,0.47885,0.93096,0.94614,0.92565,0.98984,0.87231,0.50218,0.46,0.84723,0.00113448,0.00113448,0.00113448
15,29.2047,0.62423,0.4976,0.93278,0.96279,0.91896,0.99482,0.89685,0.45957,0.46961,0.8265,0.00116337,0.00116337,0.00116337
16,31.1486,0.58141,0.52397,0.92105,0.88372,0.95213,0.99295,0.88295,0.48783,0.51638,0.8306,0.00115719,0.00115719,0.00115719
17,32.9849,0.59315,0.46365,0.90879,0.94367,0.97931,0.99409,0.87666,0.48823,0.48428,0.8285,0.001151,0.001151,0.001151
18,34.8138,0.57262,0.45294,0.92442,0.99803,0.99699,0.995,0.89123,0.49265,0.35887,0.837,0.00114481,0.00114481,0.00114481
19,36.6358,0.5778,0.4484,0.91916,0.99542,0.99648,0.995,0.88901,0.47939,0.34468,0.84098,0.00113863,0.00113863,0.00113863
20,38.4789,0.58042,0.44474,0.93399,0.99574,1,0.995,0.89017,0.46935,0.31809,0.83332,0.00113244,0.00113244,0.00113244
21,40.319,0.55352,0.43641,0.90487,0.99608,1,0.995,0.90136,0.468,0.32358,0.8371,0.00112625,0.00112625,0.00112625
22,42.4277,0.54317,0.42887,0.89588,0.99171,0.99818,0.995,0.89187,0.46212,0.33322,0.83722,0.00112006,0.00112006,0.00112006
23,44.2659,0.5534,0.45763,0.90025,0.99339,1,0.995,0.89491,0.47164,0.32337,0.84324,0.00111388,0.00111388,0.00111388
24,46.0702,0.56911,0.43973,0.90609,0.99475,0.97804,0.99429,0.88788,0.49791,0.36954,0.85891,0.00110769,0.00110769,0.00110769
25,47.91,0.53623,0.3994,0.89641,0.95213,0.96507,0.99431,0.89235,0.45839,0.38391,0.85006,0.0011015,0.0011015,0.0011015
26,49.7513,0.56516,0.42213,0.91955,0.94781,0.96971,0.9949,0.88578,0.48217,0.36415,0.84661,0.00109531,0.00109531,0.00109531
27,51.6128,0.55501,0.41258,0.91322,0.99339,0.99282,0.995,0.89983,0.44182,0.30266,0.82577,0.00108913,0.00108913,0.00108913
28,53.4973,0.53478,0.38709,0.89776,0.99825,1,0.995,0.90787,0.44102,0.28007,0.82387,0.00108294,0.00108294,0.00108294
29,55.3373,0.5357,0.38648,0.90066,0.9902,0.9948,0.99452,0.89364,0.47521,0.29917,0.83365,0.00107675,0.00107675,0.00107675
30,57.198,0.53948,0.41391,0.90664,0.99432,0.9997,0.995,0.89658,0.44586,0.29374,0.83752,0.00107056,0.00107056,0.00107056
31,59.0326,0.52545,0.37505,0.8925,0.92199,0.95051,0.98765,0.89037,0.44465,0.39871,0.83469,0.00106437,0.00106437,0.00106437
32,60.8698,0.5174,0.39231,0.89427,0.98038,0.99146,0.99403,0.90707,0.44243,0.31066,0.82688,0.00105819,0.00105819,0.00105819
33,62.863,0.52257,0.37651,0.90394,0.9802,0.97335,0.99481,0.90058,0.45022,0.33862,0.83221,0.001052,0.001052,0.001052
34,64.7016,0.51232,0.3722,0.88436,0.98926,0.98996,0.995,0.90886,0.42727,0.29486,0.82305,0.00104581,0.00104581,0.00104581
35,66.5632,0.506,0.38234,0.89058,0.98652,1,0.995,0.90155,0.44246,0.28331,0.82611,0.00103962,0.00103962,0.00103962
36,68.4125,0.51612,0.36613,0.89138,0.99291,0.99903,0.99463,0.90082,0.43838,0.27849,0.82669,0.00103344,0.00103344,0.00103344
37,70.2413,0.51197,0.36641,0.90526,0.99357,1,0.99493,0.9054,0.43946,0.28817,0.82563,0.00102725,0.00102725,0.00102725
38,72.0766,0.53202,0.36877,0.90488,0.97593,0.98711,0.99392,0.89485,0.45918,0.31041,0.83,0.00102106,0.00102106,0.00102106
39,73.9771,0.5031,0.36855,0.89755,0.97399,0.97091,0.98913,0.89232,0.45627,0.30865,0.83269,0.00101488,0.00101488,0.00101488
40,75.9009,0.51479,0.36181,0.89089,0.93412,0.94244,0.97428,0.88551,0.44504,0.36841,0.8261,0.00100869,0.00100869,0.00100869
41,77.7741,0.51984,0.36099,0.88203,0.93442,0.97345,0.97746,0.87659,0.46977,0.34081,0.83667,0.0010025,0.0010025,0.0010025
42,79.5975,0.54016,0.36931,0.91075,0.9729,0.98909,0.9937,0.89423,0.46432,0.288,0.83364,0.000996313,0.000996313,0.000996313
43,81.4761,0.49502,0.34185,0.88133,0.9876,0.99061,0.995,0.89793,0.45175,0.27401,0.83632,0.000990125,0.000990125,0.000990125
44,83.5257,0.47968,0.34071,0.87506,0.98701,0.99744,0.995,0.89094,0.47184,0.26796,0.83698,0.000983938,0.000983938,0.000983938
45,85.3297,0.50502,0.3443,0.89355,0.99865,1,0.995,0.89016,0.47827,0.25887,0.8363,0.00097775,0.00097775,0.00097775
46,87.2022,0.48635,0.33073,0.8841,0.99761,1,0.995,0.89575,0.46752,0.25969,0.83107,0.000971562,0.000971562,0.000971562
47,89.0229,0.49681,0.33254,0.88536,0.99844,1,0.995,0.89013,0.46257,0.24708,0.83061,0.000965375,0.000965375,0.000965375
48,90.8447,0.47609,0.33756,0.86501,0.99827,1,0.995,0.90385,0.44796,0.24783,0.83041,0.000959187,0.000959187,0.000959187
49,92.6517,0.51311,0.34318,0.90578,0.99825,1,0.995,0.89416,0.47213,0.24953,0.83665,0.000953,0.000953,0.000953
50,94.5129,0.50283,0.34839,0.90035,0.9984,0.99541,0.995,0.91219,0.42285,0.2419,0.82272,0.000946812,0.000946812,0.000946812
51,96.3837,0.49148,0.35849,0.8837,0.98562,0.99441,0.99482,0.90816,0.46126,0.27624,0.83747,0.000940625,0.000940625,0.000940625
52,98.2885,0.49065,0.33725,0.89752,0.99476,0.99924,0.995,0.91096,0.42766,0.25272,0.82793,0.000934438,0.000934438,0.000934438
53,100.161,0.47257,0.33691,0.86862,0.96945,0.98931,0.9888,0.89701,0.45845,0.28706,0.84014,0.00092825,0.00092825,0.00092825
54,102.033,0.49142,0.33424,0.88528,0.99414,1,0.995,0.90009,0.47017,0.25894,0.83691,0.000922063,0.000922063,0.000922063
55,104.044,0.46927,0.32683,0.88877,0.99748,1,0.995,0.90594,0.46329,0.25791,0.83321,0.000915875,0.000915875,0.000915875
56,105.867,0.47982,0.3162,0.87773,0.99818,1,0.995,0.90829,0.45746,0.25626,0.83201,0.000909688,0.000909688,0.000909688
