epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,360.773,0.68562,0.36199,0.78667,0.99404,1,0.99147,0.84922,0.64555,0.3733,0.80079,0.00183368,0.00183368,0.00183368
44,369.388,0.67894,0.35001,0.80037,0.99711,0.99994,0.99223,0.84493,0.68673,0.39473,0.80105,0.00182972,0.00182972,0.00182972
45,378.18,0.68404,0.35099,0.79056,0.99389,1,0.99223,0.82215,0.7316,0.38931,0.80233,0.00182576,0.00182576,0.00182576
46,386.713,0.69359,0.36169,0.79324,0.99676,1,0.99231,0.8481,0.67249,0.37822,0.80406,0.0018218,0.0018218,0.0018218
47,396.221,0.71063,0.36191,0.80456,0.9967,1,0.99324,0.85838,0.64985,0.37888,0.79974,0.00181784,0.00181784,0.00181784
48,404.546,0.68988,0.36571,0.78436,0.99656,1,0.99225,0.8501,0.66037,0.39776,0.79938,0.00181388,0.00181388,0.00181388
49,413.219,0.68308,0.36441,0.7886,0.99688,1,0.99303,0.85541,0.65707,0.36515,0.79911,0.00180992,0.00180992,0.00180992
50,422.29,0.69857,0.36868,0.78842,0.99413,1,0.99221,0.85761,0.66706,0.38161,0.80129,0.00180596,0.00180596,0.00180596
51,430.813,0.68937,0.36596,0.7928,0.99406,1,0.98927,0.83487,0.66687,0.39808,0.80368,0.001802,0.001802,0.001802
52,439.074,0.68138,0.35845,0.79046,0.99422,1,0.99257,0.85821,0.6661,0.37182,0.80206,0.00179804,0.00179804,0.00179804
53,447.401,0.6843,0.35863,0.79363,0.99701,1,0.99373,0.85279,0.65088,0.37866,0.80176,0.00179408,0.00179408,0.00179408
54,455.626,0.69461,0.35773,0.78958,0.997,1,0.99249,0.86084,0.6584,0.38362,0.79891,0.00179012,0.00179012,0.00179012
55,464.017,0.65591,0.35692,0.79531,0.99691,1,0.99289,0.84303,0.65725,0.38621,0.80207,0.00178616,0.00178616,0.00178616
56,472.282,0.65574,0.34535,0.79309,0.99688,1,0.9928,0.85492,0.65171,0.4022,0.80035,0.0017822,0.0017822,0.0017822
57,480.534,0.67696,0.35195,0.79343,0.99687,1,0.99272,0.86044,0.64644,0.37277,0.80092,0.00177824,0.00177824,0.00177824
58,488.852,0.68016,0.35925,0.79332,0.99655,1,0.99269,0.86523,0.61748,0.3722,0.7975,0.00177428,0.00177428,0.00177428
59,497.948,0.71108,0.36642,0.79026,0.99687,1,0.99309,0.84679,0.67526,0.39087,0.80391,0.00177032,0.00177032,0.00177032
60,506.872,0.63742,0.33793,0.79509,0.99689,1,0.99225,0.86668,0.63239,0.36817,0.79928,0.00176636,0.00176636,0.00176636
61,515.862,0.68752,0.35683,0.79009,0.99674,1,0.9922,0.86092,0.63856,0.39154,0.80076,0.0017624,0.0017624,0.0017624
62,524.713,0.6397,0.33846,0.79541,0.99692,1,0.99237,0.86024,0.66667,0.37874,0.7967,0.00175844,0.00175844,0.00175844
63,533.827,0.66742,0.3513,0.7891,0.99691,1,0.99251,0.84699,0.65834,0.38101,0.80006,0.00175448,0.00175448,0.00175448
64,542.658,0.66193,0.33983,0.79332,0.99611,1,0.99254,0.83463,0.70523,0.39755,0.80181,0.00175052,0.00175052,0.00175052
65,551.517,0.65701,0.34856,0.79155,0.99671,1,0.9922,0.8571,0.64108,0.36367,0.79854,0.00174656,0.00174656,0.00174656
66,560.324,0.6467,0.33917,0.78686,0.99647,1,0.9922,0.86121,0.64425,0.38668,0.80028,0.0017426,0.0017426,0.0017426
67,569.372,0.65924,0.33591,0.7935,0.99692,1,0.99228,0.86127,0.63039,0.35094,0.7991,0.00173864,0.00173864,0.00173864
68,577.841,0.65863,0.34183,0.78374,0.99695,1,0.99225,0.85978,0.63329,0.37482,0.79921,0.00173468,0.00173468,0.00173468
69,586.445,0.63618,0.33403,0.79035,0.99689,1,0.99231,0.86619,0.64149,0.34503,0.79841,0.00173072,0.00173072,0.00173072
70,594.911,0.65969,0.33934,0.79314,0.99697,1,0.99214,0.85029,0.64796,0.3829,0.79663,0.00172676,0.00172676,0.00172676
71,603.609,0.63798,0.33786,0.78796,0.99689,1,0.9922,0.85883,0.63448,0.3833,0.79877,0.0017228,0.0017228,0.0017228
72,612.27,0.65173,0.34185,0.7847,0.99364,1,0.99251,0.8362,0.63314,0.38321,0.79985,0.00171884,0.00171884,0.00171884
73,620.716,0.66072,0.33666,0.7996,0.99406,1,0.99314,0.86149,0.64166,0.37272,0.79538,0.00171488,0.00171488,0.00171488
74,629.255,0.64987,0.33833,0.79298,0.99693,1,0.99225,0.8613,0.63412,0.36907,0.79715,0.00171092,0.00171092,0.00171092
75,637.999,0.67128,0.33552,0.7953,0.99691,1,0.99231,0.86064,0.63242,0.35525,0.79876,0.00170696,0.00170696,0.00170696
76,646.793,0.65224,0.3332,0.79813,0.99683,1,0.99263,0.85789,0.62673,0.35771,0.79848,0.001703,0.001703,0.001703
77,655.168,0.63991,0.33726,0.78379,0.99688,1,0.99214,0.86485,0.62079,0.37958,0.79505,0.00169904,0.00169904,0.00169904
78,663.527,0.65576,0.33147,0.7909,0.99691,1,0.99225,0.84462,0.6409,0.38553,0.80071,0.00169508,0.00169508,0.00169508
79,671.921,0.65905,0.33205,0.78238,0.99689,1,0.99228,0.84661,0.65436,0.40691,0.80091,0.00169112,0.00169112,0.00169112
