epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,27.2323,0.60927,0.4288,0.92094,0.9788,0.87573,0.99375,0.86746,0.61053,0.66875,0.90195,0.000812025,0.000812025,0.000812025
42,27.9691,0.6216,0.46138,0.87194,0.94081,0.94898,0.995,0.86864,0.62905,0.61073,0.91029,0.000826939,0.000826939,0.000826939
43,28.6243,0.62728,0.47962,0.91444,0.94081,0.94898,0.995,0.86864,0.62905,0.61073,0.91029,0.000841606,0.000841606,0.000841606
44,29.2753,0.62789,0.45576,0.92831,0.94243,0.97515,0.995,0.83364,0.66229,0.55309,0.92183,0.000856026,0.000856026,0.000856026
45,29.8723,0.62013,0.47735,0.92052,0.94243,0.97515,0.995,0.83364,0.66229,0.55309,0.92183,0.000870198,0.000870198,0.000870198
46,30.5172,0.56266,0.51293,0.9119,0.95872,0.97573,0.995,0.84957,0.65639,0.49904,0.92164,0.000884122,0.000884122,0.000884122
47,31.1368,0.55262,0.40214,0.87583,0.95872,0.97573,0.995,0.84957,0.65639,0.49904,0.92164,0.000897799,0.000897799,0.000897799
48,31.791,0.5886,0.40108,0.87708,0.97236,0.97499,0.995,0.8174,0.71454,0.48379,0.9549,0.000911228,0.000911228,0.000911228
49,32.3944,0.62601,0.46301,0.90852,0.97236,0.97499,0.995,0.8174,0.71454,0.48379,0.9549,0.00092441,0.00092441,0.00092441
50,32.9822,0.63844,0.43444,0.90149,0.95262,0.95996,0.995,0.8447,0.65372,0.51454,0.9319,0.000937344,0.000937344,0.000937344
51,33.5594,0.57266,0.55071,0.91334,0.95262,0.95996,0.995,0.8447,0.65372,0.51454,0.9319,0.000940625,0.000940625,0.000940625
52,34.1544,0.63573,0.44473,0.89243,0.87687,0.95592,0.98562,0.82805,0.63409,0.60786,0.92486,0.000934438,0.000934438,0.000934438
53,34.8274,0.63468,0.45902,0.90133,0.87687,0.95592,0.98562,0.82805,0.63409,0.60786,0.92486,0.00092825,0.00092825,0.00092825
54,35.4224,0.63483,0.45327,0.95227,0.94358,0.89612,0.97781,0.82378,0.64747,0.60176,0.9267,0.000922063,0.000922063,0.000922063
55,36.0142,0.60664,0.5054,0.89458,0.94358,0.89612,0.97781,0.82378,0.64747,0.60176,0.9267,0.000915875,0.000915875,0.000915875
56,36.6304,0.62078,0.47062,0.8973,0.98268,0.97514,0.995,0.85757,0.62614,0.44845,0.91483,0.000909688,0.000909688,0.000909688
57,37.2233,0.62351,0.49361,0.91127,0.98268,0.97514,0.995,0.85757,0.62614,0.44845,0.91483,0.0009035,0.0009035,0.0009035
58,37.8408,0.60861,0.43404,0.92139,0.98274,0.97444,0.995,0.86003,0.5936,0.41654,0.90193,0.000897313,0.000897313,0.000897313
59,38.4563,0.59457,0.41829,0.96035,0.98274,0.97444,0.995,0.86003,0.5936,0.41654,0.90193,0.000891125,0.000891125,0.000891125
60,39.0505,0.57,0.44592,0.93513,0.97024,0.95729,0.995,0.84481,0.61424,0.44342,0.89978,0.000884938,0.000884938,0.000884938
